frame,img_size,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms,real_fps,num_detections,avg_confidence
596,640,25.13,419.65,5.15,449.93,2.22,20,0.5
597,640,25.8,417.64,7.37,450.82,2.21,19,0.51
598,640,25.41,399.28,5.0,429.7,2.32,16,0.503
599,640,22.08,413.19,7.79,443.06,2.25,16,0.519
600,640,29.05,421.96,5.12,456.14,2.17,21,0.457
601,640,27.77,410.56,8.51,446.84,2.21,18,0.51
602,640,25.47,400.53,5.09,431.09,2.31,17,0.519
603,640,19.4,416.47,5.92,441.8,2.24,18,0.512
604,640,24.0,411.99,8.34,444.34,2.24,17,0.509
605,640,24.7,413.15,9.39,447.24,2.23,18,0.507
606,640,20.69,403.26,5.35,429.31,2.3,19,0.532
607,640,22.5,408.06,5.41,435.97,2.28,19,0.496
608,640,26.08,410.98,5.13,442.19,2.23,21,0.508
609,640,22.39,415.64,5.24,443.27,2.24,18,0.542
610,640,23.73,408.58,8.35,440.67,2.23,20,0.49
611,640,28.96,400.44,5.44,434.84,2.29,20,0.525
612,640,25.91,419.33,5.17,450.4,2.2,18,0.543
613,640,23.33,409.0,5.19,437.51,2.28,21,0.511
614,640,27.71,407.13,7.37,442.2,2.25,19,0.545
615,640,33.93,399.96,5.16,439.06,2.27,19,0.498
616,640,24.4,408.82,7.7,440.93,2.26,17,0.509
617,640,24.27,411.33,7.43,443.04,2.25,18,0.52
618,640,31.04,408.92,8.55,448.51,2.22,17,0.539
619,640,27.04,399.26,11.36,437.66,2.28,17,0.523
620,640,29.56,416.76,7.69,454.01,2.2,17,0.546
621,640,27.42,415.93,5.86,449.21,2.22,15,0.546
622,640,24.9,410.94,7.52,443.35,2.25,17,0.52
623,640,19.47,412.86,8.48,440.82,2.26,19,0.513
624,640,27.62,401.93,7.4,436.95,2.28,17,0.487
625,640,20.1,415.79,7.81,443.7,2.25,19,0.484
626,640,25.37,416.18,7.81,449.36,2.22,17,0.48
627,640,23.02,411.3,10.29,444.62,2.24,20,0.482
628,640,25.46,405.67,8.73,439.87,2.26,15,0.536
629,640,29.38,414.74,7.84,451.96,2.21,15,0.522
630,640,24.91,411.94,5.51,442.36,2.25,18,0.5
631,640,24.02,409.57,8.65,442.24,2.25,18,0.5
632,640,20.99,419.67,6.02,446.69,2.23,17,0.55
633,640,28.95,401.73,5.19,435.88,2.29,19,0.516
634,640,32.29,408.4,5.48,446.17,2.23,19,0.539
635,640,24.32,410.58,7.39,442.29,2.26,17,0.499
636,640,26.73,412.36,5.08,444.17,2.25,16,0.51
637,640,20.3,411.21,6.56,438.06,2.26,18,0.525
638,640,35.41,403.29,5.51,444.21,2.25,17,0.538
639,640,22.87,410.46,5.69,439.02,2.27,17,0.505
640,640,19.25,415.84,5.25,440.34,2.27,15,0.569
641,640,24.19,410.81,7.58,442.59,2.25,17,0.529
642,640,27.61,408.85,8.45,444.9,2.24,19,0.5
643,640,26.74,406.38,9.1,442.22,2.26,16,0.506
644,640,21.49,424.76,8.87,455.12,2.19,16,0.503
645,640,25.12,412.97,5.06,443.15,2.25,13,0.541
646,640,25.75,409.08,7.96,442.78,2.25,15,0.516
647,640,24.29,408.22,8.39,440.9,2.26,17,0.523
648,640,20.75,410.56,7.57,438.88,2.27,16,0.516
649,640,24.34,412.57,7.35,444.25,2.24,14,0.571
650,640,19.42,418.12,7.67,445.2,2.24,12,0.603
651,640,21.83,414.01,5.03,440.87,2.26,14,0.54
652,640,25.11,414.19,9.51,448.81,2.22,14,0.539
653,640,27.3,406.17,9.57,443.04,2.25,15,0.552
654,640,28.29,407.46,5.55,441.3,2.26,18,0.551
655,640,18.72,406.16,9.22,434.1,2.3,17,0.522
656,640,19.91,408.93,5.51,434.36,2.28,16,0.527
657,640,21.71,411.24,5.18,438.14,2.28,16,0.543
658,640,24.42,410.94,5.93,441.28,2.26,20,0.497
659,640,26.17,404.19,5.02,435.38,2.29,14,0.555
