Klatka | Preprocess (ms) | Inferencja (ms) | Postprocess (ms) | FPS
   171 |           21.84 |          405.99 |             5.21 |  2.28
   172 |           25.26 |          406.78 |             5.14 |  2.26
   173 |           20.54 |          412.47 |             5.21 |  2.26
   174 |           22.73 |          408.16 |             5.27 |  2.27
   175 |           24.06 |          402.27 |             5.21 |  2.29
   176 |           17.61 |          406.85 |             5.22 |  2.30
   177 |           22.20 |          406.38 |             7.90 |  2.27
   178 |           27.82 |          403.81 |             5.26 |  2.27
   179 |           23.32 |          407.78 |             5.21 |  2.27
   180 |           18.97 |          402.31 |             5.18 |  2.32
   181 |          154.62 |          400.68 |             5.21 |  1.76
   182 |           20.60 |          406.84 |             7.60 |  2.27
   183 |           17.16 |          404.39 |             7.51 |  2.29
   184 |           20.11 |          407.32 |             8.71 |  2.27
   185 |           19.61 |          407.20 |             5.21 |  2.30
   186 |           25.29 |          403.78 |             5.16 |  2.28
   187 |           19.49 |          405.71 |             5.28 |  2.29
   188 |           25.08 |          411.12 |             5.19 |  2.24
   189 |           20.38 |          408.00 |             5.13 |  2.28
   190 |           23.71 |          405.59 |             5.12 |  2.28
   191 |           16.06 |          407.94 |             5.23 |  2.30
   192 |           19.55 |          408.00 |             5.13 |  2.28
   193 |           23.78 |          403.86 |             5.18 |  2.29
   194 |           25.10 |          404.42 |             7.53 |  2.27
   195 |           26.78 |          403.94 |             7.89 |  2.25
   196 |           25.11 |          403.68 |             5.23 |  2.28
   197 |           21.83 |          404.93 |             5.22 |  2.29
   198 |           16.98 |          409.86 |             8.68 |  2.27
   199 |           23.71 |          406.97 |             8.55 |  2.25
   200 |           26.78 |          407.22 |             7.92 |  2.24
   201 |           23.29 |          410.15 |             5.20 |  2.26
   202 |           26.98 |          404.32 |             5.17 |  2.27
   203 |           23.20 |          402.54 |             8.45 |  2.27
   204 |           18.82 |          403.86 |             5.29 |  2.31
   205 |           20.90 |          408.77 |             5.13 |  2.27
   206 |           27.40 |          404.06 |             5.15 |  2.26
   207 |           31.01 |          410.53 |             5.10 |  2.21
   208 |           29.04 |          409.21 |             5.15 |  2.23
   209 |           17.12 |          412.57 |             5.07 |  2.28
   210 |           26.36 |          407.15 |             5.15 |  2.25
   211 |           24.82 |          404.75 |             8.97 |  2.26
   212 |           17.40 |          406.63 |             5.14 |  2.31
   213 |           29.36 |          412.26 |             6.05 |  2.20
   214 |           27.27 |          410.60 |             5.17 |  2.24
   215 |           16.05 |          409.81 |             5.04 |  2.29
   216 |           25.90 |          410.48 |             5.17 |  2.24
   217 |           20.79 |          410.45 |             5.12 |  2.27
   218 |           26.75 |          403.18 |             5.03 |  2.27
   219 |           20.92 |          402.65 |             5.04 |  2.31
   220 |           28.77 |          403.67 |             5.03 |  2.26
   221 |           23.66 |          404.38 |             5.00 |  2.29
   222 |           21.74 |          440.70 |             8.83 |  2.10
   223 |           19.98 |          407.21 |             5.06 |  2.29
   224 |           22.76 |          405.51 |             5.15 |  2.28
   225 |           19.29 |          406.16 |             5.11 |  2.30
   226 |           28.14 |          405.97 |             8.84 |  2.24
   227 |           29.24 |          411.44 |             5.18 |  2.22
   228 |           24.33 |          408.19 |             5.16 |  2.27
   229 |           21.74 |          403.51 |             8.16 |  2.28
   230 |           27.15 |          407.42 |             5.08 |  2.25
   231 |           30.08 |          410.21 |             5.28 |  2.22
   232 |           21.47 |          404.30 |             5.14 |  2.29
   233 |           31.78 |          410.27 |             7.81 |  2.19
   234 |           33.76 |          413.13 |             5.22 |  2.19
   235 |           23.99 |          418.55 |             5.22 |  2.22
   236 |           21.88 |          413.95 |             5.17 |  2.25
   237 |           28.60 |          409.30 |             8.78 |  2.21
   238 |           24.52 |          411.62 |             6.06 |  2.24
   239 |           34.95 |          413.01 |             5.13 |  2.18
   240 |           20.11 |          409.89 |             5.14 |  2.24
   241 |           23.88 |          413.76 |             9.04 |  2.22
   242 |           27.34 |          408.82 |             5.10 |  2.25
   243 |          149.82 |          406.47 |             5.21 |  1.75
   244 |           21.27 |          412.65 |             5.15 |  2.24
   245 |           24.94 |          409.63 |             7.45 |  2.23
   246 |           23.47 |          403.31 |             7.45 |  2.28
   247 |           27.65 |          404.32 |             5.16 |  2.27
   248 |           23.59 |          406.50 |             5.15 |  2.27
   249 |           29.64 |          413.88 |             5.18 |  2.21
   250 |           21.86 |          407.60 |             5.20 |  2.28
   251 |           21.36 |          412.53 |             5.11 |  2.26
   252 |           18.89 |          408.23 |             5.14 |  2.29
   253 |           27.00 |          407.38 |             5.17 |  2.25
   254 |           24.55 |          405.40 |             5.22 |  2.28
   255 |           19.04 |          408.69 |             5.20 |  2.29
   256 |           18.21 |          407.83 |             5.27 |  2.29
   257 |           26.87 |          405.63 |             5.11 |  2.26
   258 |           27.42 |          409.54 |             5.31 |  2.24
   259 |           26.24 |          408.87 |             5.17 |  2.25
   260 |           16.80 |          407.64 |             5.22 |  2.30
   261 |           23.12 |          403.07 |             5.17 |  2.29
   262 |           23.63 |          411.85 |             8.53 |  2.23
   263 |           22.38 |          410.06 |             7.51 |  2.25
   264 |           21.41 |          406.31 |             8.50 |  2.27
   265 |           18.58 |          407.29 |             7.52 |  2.28
   266 |           25.34 |          413.44 |             5.23 |  2.23
   267 |           20.15 |          410.52 |             5.15 |  2.27
   268 |           29.54 |          414.26 |             6.82 |  2.19
   269 |           25.10 |          408.31 |             5.17 |  2.25
   270 |           25.98 |          404.00 |             7.54 |  2.26
   271 |           21.66 |          406.82 |             7.53 |  2.27
   272 |           20.51 |          407.44 |             5.31 |  2.29
   273 |           27.00 |          442.43 |             5.26 |  2.08
   274 |           26.40 |          413.55 |             5.24 |  2.21
   275 |           22.99 |          413.49 |             5.23 |  2.24
   276 |           26.88 |          416.71 |             5.42 |  2.20
   277 |           19.10 |          407.69 |             5.21 |  2.29
   278 |           19.90 |          406.51 |             5.12 |  2.30
   279 |           20.45 |          407.86 |             5.17 |  2.29
   280 |           22.28 |          411.72 |             5.22 |  2.25
   281 |           28.22 |          407.55 |             5.20 |  2.24
   282 |           24.89 |          411.95 |             5.23 |  2.23
   283 |           28.08 |          409.85 |             5.19 |  2.23
   284 |           17.71 |          410.68 |             5.20 |  2.28
   285 |           20.68 |          409.24 |             5.17 |  2.27
   286 |           24.92 |          404.02 |             7.88 |  2.27
   287 |           20.35 |          408.20 |             7.45 |  2.27
   288 |           20.53 |          405.03 |             5.22 |  2.30
   289 |           32.35 |          408.78 |             5.16 |  2.22
   290 |           26.00 |          410.94 |             5.20 |  2.21
   291 |           28.14 |          413.93 |             8.63 |  2.19
   292 |           25.25 |          412.49 |             5.27 |  2.22
   293 |           25.95 |          410.84 |             5.15 |  2.24
   294 |           23.37 |          403.57 |             5.25 |  2.29
   295 |           18.28 |          411.82 |             5.14 |  2.27
   296 |           21.20 |          405.56 |             5.26 |  2.29
   297 |           25.31 |          405.37 |             5.15 |  2.27
   298 |           18.67 |          407.29 |             5.22 |  2.29
   299 |           26.17 |          412.14 |             5.18 |  2.23
   300 |           21.35 |          410.13 |             5.18 |  2.27
   301 |           17.96 |          407.82 |             5.14 |  2.30
   302 |           26.26 |          406.86 |             5.17 |  2.26
   303 |           23.13 |          407.01 |             5.24 |  2.28
   304 |           29.15 |          402.37 |             5.07 |  2.27
   305 |          150.97 |          399.18 |             5.10 |  1.77
   306 |           24.22 |          401.00 |             5.11 |  2.30
   307 |           17.92 |          402.46 |             5.21 |  2.33
   308 |           16.16 |          405.99 |             5.22 |  2.32
   309 |           29.56 |          403.42 |             5.22 |  2.26
   310 |           22.52 |          411.98 |             7.49 |  2.23
   311 |           21.92 |          433.33 |             7.79 |  2.14
   312 |           36.69 |          425.08 |             5.71 |  2.11
   313 |           41.66 |          416.10 |             5.22 |  2.14
   314 |           24.38 |          431.79 |             5.27 |  2.15
   315 |           14.54 |          412.85 |             5.65 |  2.29
   316 |           18.81 |          406.30 |             5.15 |  2.31
   317 |           13.19 |          419.56 |             8.07 |  2.25
   318 |           15.63 |          407.08 |             7.99 |  2.30
   319 |           15.87 |          429.44 |             8.54 |  2.19
   320 |           20.58 |          418.34 |             7.50 |  2.22
   321 |           17.09 |          410.06 |             7.40 |  2.28
   322 |           14.37 |          417.08 |             9.92 |  2.25
   323 |           14.89 |          403.14 |             5.11 |  2.35
   324 |           16.33 |          417.06 |             5.84 |  2.24
   325 |           16.99 |          410.17 |             5.13 |  2.29
   326 |           16.30 |          404.38 |             5.12 |  2.33
   327 |           18.60 |          410.89 |             5.95 |  2.28
   328 |           16.59 |          416.06 |             6.62 |  2.26
   329 |           15.95 |          426.07 |             6.67 |  2.21
   330 |           19.31 |          419.21 |             7.23 |  2.23
   331 |           17.58 |          429.02 |             9.54 |  2.18
   332 |           22.53 |          413.11 |            10.20 |  2.22
   333 |           17.82 |          427.61 |             7.37 |  2.18
   334 |           14.09 |          426.53 |             5.97 |  2.20
   335 |           17.11 |          447.40 |             5.68 |  2.11
   336 |           21.04 |          453.69 |            12.13 |  2.03
   337 |           16.62 |          403.73 |             5.12 |  2.33
   338 |           13.42 |          412.77 |             5.61 |  2.30
   339 |           17.82 |          408.35 |             5.13 |  2.30
   340 |           17.69 |          404.13 |             8.97 |  2.31
   341 |           18.63 |          409.33 |             5.15 |  2.29
   342 |           16.21 |          408.81 |             5.20 |  2.30
   343 |           17.65 |          409.57 |             8.93 |  2.27
   344 |           19.16 |          435.75 |             7.28 |  2.15
   345 |           18.30 |          408.89 |             5.17 |  2.30
   346 |           21.04 |          421.28 |            13.09 |  2.16
   347 |           31.64 |          434.61 |             9.09 |  2.08
   348 |           16.75 |          402.53 |             8.19 |  2.32
   349 |           14.97 |          404.86 |             5.19 |  2.34
   350 |           13.30 |          409.25 |             7.09 |  2.31
   351 |           15.47 |          425.83 |            10.03 |  2.20
   352 |           17.39 |          424.44 |             6.12 |  2.21
   353 |           15.17 |          404.34 |             5.39 |  2.34
   354 |           14.66 |          403.25 |             5.26 |  2.35
   355 |           18.14 |          419.87 |            11.27 |  2.21
   356 |           17.47 |          424.43 |             9.85 |  2.20
   357 |           18.78 |          419.98 |             9.51 |  2.21
   358 |           15.68 |          403.60 |             5.27 |  2.34
   359 |           15.41 |          407.53 |            12.34 |  2.28
   360 |           13.36 |          419.30 |             6.73 |  2.26
   361 |           16.25 |          420.11 |             8.62 |  2.23
   362 |           14.36 |          409.17 |             5.22 |  2.31
   363 |           19.62 |          409.35 |             5.28 |  2.28
   364 |           16.28 |          410.37 |             5.14 |  2.29
   365 |           16.20 |          405.57 |             5.12 |  2.32
   366 |           16.67 |          412.47 |             5.12 |  2.29
   367 |          145.64 |          405.89 |             5.17 |  1.78
   368 |           13.27 |          404.37 |             5.15 |  2.35
   369 |           12.72 |          401.38 |             5.16 |  2.37
   370 |           13.23 |          401.22 |             5.17 |  2.37
   371 |           13.14 |          400.03 |             5.16 |  2.37
   372 |           13.39 |          399.71 |             5.14 |  2.37
   373 |           12.73 |          401.69 |             5.47 |  2.36
   374 |           13.17 |          400.58 |             5.18 |  2.37
   375 |           12.72 |          400.18 |             5.28 |  2.37
   376 |           13.15 |          399.54 |             5.15 |  2.38
   377 |           13.41 |          401.10 |             5.14 |  2.36
   378 |           13.46 |          399.23 |             5.21 |  2.38
   379 |           12.76 |          400.23 |             5.15 |  2.37
   380 |           13.22 |          400.45 |             5.17 |  2.37
   381 |           13.52 |          398.84 |             5.12 |  2.38
   382 |           13.50 |          399.03 |             5.13 |  2.38
   383 |           12.69 |          401.38 |             5.21 |  2.37
   384 |           13.23 |          399.55 |             5.03 |  2.38
   385 |           13.26 |          399.58 |             5.13 |  2.37
   386 |           13.33 |          400.94 |             5.18 |  2.37
   387 |           12.74 |          400.47 |             5.16 |  2.37
   388 |           13.23 |          399.40 |             5.04 |  2.38
   389 |           13.23 |          400.86 |             5.24 |  2.37
   390 |           13.81 |          399.74 |             5.17 |  2.37
   391 |           12.78 |          401.34 |             5.04 |  2.37
   392 |           13.10 |          402.96 |             5.09 |  2.36
   393 |           13.28 |          400.48 |             5.06 |  2.37
   394 |           13.27 |          400.41 |             5.09 |  2.37
   395 |           12.66 |          402.30 |             5.10 |  2.36
   396 |           13.19 |          400.40 |             5.13 |  2.37
   397 |           13.34 |          400.95 |             5.10 |  2.37
   398 |           12.95 |          402.13 |             5.15 |  2.36
   399 |           12.72 |          401.66 |             5.10 |  2.37
   400 |           13.11 |          400.80 |             5.12 |  2.37
   401 |           13.20 |          401.29 |             5.13 |  2.37
   402 |           13.30 |          400.22 |             5.13 |  2.37
   403 |           12.67 |          401.97 |             5.18 |  2.37
   404 |           13.03 |          402.37 |             5.11 |  2.36
   405 |           13.91 |          400.45 |             5.11 |  2.37
   406 |           13.76 |          400.35 |             5.10 |  2.37
   407 |           12.62 |          401.82 |             5.22 |  2.37
   408 |           13.06 |          401.56 |             5.12 |  2.37
   409 |           13.66 |          401.24 |             5.13 |  2.36
   410 |           13.44 |          401.49 |             5.20 |  2.36
   411 |           12.73 |          401.35 |             5.16 |  2.37
   412 |           13.19 |          401.49 |             5.06 |  2.37
   413 |           13.46 |          403.58 |             5.10 |  2.35
   414 |           14.14 |          399.83 |             5.08 |  2.37
   415 |           12.75 |          401.94 |             5.16 |  2.37
   416 |           13.12 |          400.48 |             5.08 |  2.37
   417 |           13.48 |          400.29 |             5.07 |  2.37
   418 |           13.38 |          400.65 |             5.19 |  2.37
   419 |           12.63 |          402.09 |             5.12 |  2.36
   420 |           13.21 |          399.84 |             5.07 |  2.37
   421 |           13.45 |          400.85 |             5.04 |  2.37
   422 |           13.29 |          400.48 |             5.02 |  2.37
   423 |           13.79 |          402.35 |             5.17 |  2.36
   424 |           13.15 |          401.84 |             5.04 |  2.36
   425 |           13.16 |          401.48 |             5.06 |  2.36
   426 |           13.11 |          400.02 |             5.13 |  2.37
   427 |           12.93 |          403.23 |             5.19 |  2.36
   428 |           12.18 |          401.79 |             5.07 |  2.37
   429 |           13.25 |          407.10 |             8.74 |  2.31
   430 |           17.11 |          423.14 |             6.38 |  2.22
   431 |           21.47 |          436.10 |             9.08 |  2.13
   432 |           17.30 |          423.93 |            10.15 |  2.20
   433 |          141.79 |          414.34 |             8.33 |  1.75
   434 |           15.01 |          426.56 |            10.16 |  2.20
   435 |           21.39 |          427.20 |            11.17 |  2.16
   436 |           14.76 |          428.06 |             7.73 |  2.20
   437 |           14.81 |          402.85 |             5.11 |  2.35
   438 |           14.22 |          416.05 |             5.62 |  2.28
   439 |           18.96 |          422.15 |             5.18 |  2.22
   440 |           16.56 |          406.14 |             5.13 |  2.32
   441 |           15.20 |          402.65 |             5.27 |  2.35
   442 |           13.11 |          402.01 |             5.13 |  2.36
   443 |           12.63 |          402.46 |             5.18 |  2.36
   444 |           17.53 |          401.88 |             5.20 |  2.34
   445 |           20.16 |          416.32 |            10.99 |  2.21
   446 |           18.55 |          415.16 |             7.71 |  2.24
   447 |           18.42 |          414.76 |             7.57 |  2.25
   448 |           18.55 |          426.10 |             7.54 |  2.18
   449 |           22.70 |          430.28 |             8.01 |  2.14
   450 |           19.72 |          435.36 |             6.97 |  2.14
   451 |           15.92 |          414.69 |             5.49 |  2.27
   452 |           18.94 |          425.38 |            11.72 |  2.17
   453 |           24.46 |          452.10 |             8.50 |  2.05
   454 |           24.97 |          435.97 |             5.89 |  2.12
   455 |           19.47 |          413.24 |             5.28 |  2.26
   456 |           20.84 |          410.63 |             6.18 |  2.26
   457 |           18.73 |          422.75 |             5.59 |  2.22
   458 |           18.60 |          428.10 |             5.64 |  2.19
   459 |           16.94 |          411.26 |             5.17 |  2.29
   460 |           19.19 |          412.87 |             7.43 |  2.26
   461 |           21.27 |          433.14 |             9.62 |  2.14
   462 |           25.40 |          422.80 |             5.19 |  2.18
   463 |           21.02 |          410.15 |             5.50 |  2.27
   464 |           18.25 |          419.72 |             6.06 |  2.23
   465 |           13.27 |          414.88 |             6.33 |  2.28
   466 |           19.30 |          414.88 |             5.25 |  2.26
   467 |           14.97 |          414.63 |             5.24 |  2.28
   468 |           16.03 |          410.68 |             7.63 |  2.29
   469 |           13.52 |          411.66 |             5.26 |  2.31
   470 |           16.12 |          405.61 |             7.53 |  2.31
   471 |           23.07 |          411.20 |             7.75 |  2.24
   472 |           20.30 |          422.24 |            10.02 |  2.19
   473 |           13.21 |          423.41 |             5.16 |  2.25
   474 |           13.61 |          408.06 |             8.95 |  2.31
   475 |           17.05 |          413.12 |            11.68 |  2.25
   476 |           15.96 |          412.67 |             9.92 |  2.26
   477 |           16.02 |          429.41 |            10.08 |  2.18
   478 |           17.02 |          429.39 |             5.68 |  2.20
   479 |           14.55 |          413.40 |             8.23 |  2.27
   480 |           18.31 |          447.23 |             9.19 |  2.09
   481 |           15.90 |          437.37 |             6.70 |  2.16
   482 |           21.60 |          443.99 |            11.93 |  2.06
   483 |           36.38 |          439.47 |             6.35 |  2.04
   484 |           13.63 |          417.97 |             5.17 |  2.27
   485 |           18.29 |          406.19 |             7.25 |  2.30
   486 |           15.34 |          408.01 |             6.09 |  2.31
   487 |           17.87 |          409.81 |             7.52 |  2.28
   488 |           14.46 |          402.06 |             5.18 |  2.36
   489 |           13.63 |          436.77 |             8.07 |  2.17
   490 |           17.06 |          417.93 |             5.20 |  2.26
   491 |           19.43 |          417.43 |             5.19 |  2.25
   492 |           15.62 |          415.03 |            12.75 |  2.24
   493 |           19.04 |          441.97 |             5.17 |  2.13
   494 |           21.31 |          434.35 |             8.87 |  2.13
   495 |          163.06 |          405.92 |            12.51 |  1.70
   496 |           13.57 |          408.34 |             6.10 |  2.32
   497 |           17.39 |          428.24 |             5.67 |  2.20
   498 |           22.06 |          452.04 |             8.22 |  2.06
   499 |           15.39 |          443.25 |             7.82 |  2.13
   500 |           13.58 |          419.48 |             9.10 |  2.24
   501 |           17.05 |          420.11 |             7.71 |  2.23
   502 |           19.75 |          404.68 |             5.08 |  2.31
