Klatka | Preprocess (ms) | Inferencja (ms) | Postprocess (ms) | FPS
   190 |            9.73 |           29.77 |             3.07 | 21.41
   191 |            9.42 |           27.19 |             5.08 | 21.93
   192 |            9.53 |           27.80 |             4.45 | 21.58
   193 |            6.10 |           24.64 |             3.05 | 26.16
   194 |            6.42 |           24.93 |             3.78 | 25.13
   195 |           10.04 |           27.10 |             3.10 | 22.40
   196 |            6.66 |           24.73 |             4.18 | 23.89
   197 |            8.12 |           29.71 |             3.36 | 21.92
   198 |            9.11 |           29.09 |             3.09 | 21.89
   199 |            5.94 |           26.17 |             3.13 | 25.49
   200 |            6.83 |           26.50 |             3.33 | 25.01
   201 |            9.23 |           23.32 |             4.98 | 23.77
   202 |            7.73 |           26.12 |             3.06 | 23.80
   203 |            6.13 |           24.83 |             3.14 | 25.92
   204 |            8.70 |           28.40 |             5.30 | 21.88
   205 |            8.38 |           24.56 |             6.38 | 22.68
   206 |            8.68 |           31.15 |             4.36 | 21.11
   207 |            9.15 |           27.96 |             4.84 | 21.34
   208 |            7.38 |           23.21 |             3.51 | 24.88
   209 |            7.51 |           28.07 |             5.95 | 22.07
   210 |            7.77 |           25.75 |             4.82 | 23.08
   211 |            9.34 |           23.09 |             4.83 | 24.47
   212 |            7.24 |           25.23 |             6.07 | 23.28
   213 |            8.98 |           25.61 |             6.33 | 22.03
   214 |           10.54 |           23.93 |             4.03 | 23.03
   215 |            8.65 |           24.76 |             5.36 | 23.24
   216 |           11.10 |           24.36 |             6.31 | 21.82
   217 |            7.96 |           26.32 |             5.88 | 22.40
   218 |            9.31 |           29.86 |             4.09 | 21.42
   219 |            3.88 |           22.69 |             3.16 | 26.99
   220 |           10.70 |           23.40 |             3.11 | 24.40
   221 |            8.59 |           26.32 |             4.83 | 22.57
   222 |            5.89 |           25.10 |             3.12 | 25.63
   223 |            5.24 |           29.86 |             7.81 | 21.09
   224 |            9.72 |           24.14 |             3.27 | 24.31
   225 |            8.24 |           28.62 |             5.13 | 21.96
   226 |           10.81 |           26.24 |             3.14 | 22.21
   227 |            5.61 |           30.72 |             5.30 | 21.77
   228 |            5.50 |           25.73 |             3.60 | 24.99
   229 |           10.91 |           29.32 |             3.38 | 20.71
   230 |            6.22 |           24.36 |             3.15 | 25.77
   231 |            6.07 |           27.79 |             3.12 | 24.20
   232 |            7.58 |           29.66 |             3.29 | 21.82
   233 |           10.12 |           25.66 |             3.09 | 23.69
   234 |            7.40 |           25.08 |             8.08 | 22.57
   235 |            7.16 |           26.80 |             6.18 | 22.68
   236 |            5.29 |           21.74 |             9.43 | 23.38
   237 |            9.86 |           27.24 |             3.35 | 22.19
   238 |            5.88 |           25.64 |             4.89 | 23.82
   239 |           10.75 |           25.71 |             5.18 | 21.72
   240 |            6.68 |           24.35 |             3.14 | 26.36
   241 |            8.16 |           26.50 |             3.06 | 23.08
   242 |           11.49 |           25.10 |             3.34 | 22.90
   243 |            7.00 |           32.14 |             6.37 | 20.43
   244 |            3.83 |           27.62 |             3.15 | 25.82
   245 |            8.72 |           29.79 |             3.21 | 21.96
   246 |            6.46 |           27.75 |             4.79 | 22.92
